,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Sales +,585,860,"1,197","1,358","1,409"
Expenses +,426,629,856,971,"1,002"
Operating Profit,159,231,341,388,407
OPM %,27%,27%,28%,29%,29%
Other Income +,6,6,6,13,37
Interest,12,7,12,12,8
Depreciation,36,38,54,65,77
Profit before tax,117,192,280,324,360
Tax %,26%,26%,25%,25%,26%
Net Profit +,86,142,209,243,267
EPS in Rs,965.92,15.90,23.32,25.79,28.38
Dividend Payout %,0%,0%,6%,16%,11%
