,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,514,537,336,459,828,678,460,532,"1,077","1,321",671,968,"1,910"
Expenses +,464,500,309,422,752,612,423,490,960,"1,190",615,883,"1,698"
Operating Profit,50,36,27,37,76,66,38,42,116,131,56,85,212
OPM %,10%,7%,8%,8%,9%,10%,8%,8%,11%,10%,8%,9%,11%
Other Income +,3,1,1,1,1,1,3,5,3,4,4,7,20
Interest,9,9,9,12,18,14,12,10,16,18,15,22,33
Depreciation,7,8,8,9,10,11,11,11,14,15,15,16,19
Profit before tax,37,21,11,17,49,42,18,26,91,101,30,54,180
Tax %,25%,20%,33%,21%,18%,20%,30%,26%,21%,16%,35%,25%,19%
Net Profit +,28,16,7,14,40,34,12,19,70,84,19,40,145
EPS in Rs,1.30,0.77,0.34,0.60,1.77,1.49,0.48,0.74,2.67,3.21,0.74,1.40,5.13
Raw PDF,,,,,,,,,,,,,
