,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,"2,953","2,002","2,239","2,347","3,781","2,764","2,987","2,930","3,787","2,287","2,448","2,613","3,412"
Expenses +,"2,769","1,842","2,039","2,190","3,598","2,513","2,771","2,671","3,470","2,037","2,247","2,481","3,158"
Operating Profit,183,160,200,156,183,251,216,259,317,251,201,132,254
OPM %,6%,8%,9%,7%,5%,9%,7%,9%,8%,11%,8%,5%,7%
Other Income +,86,79,81,75,186,64,177,119,107,107,142,86,103
Interest,22,29,31,30,33,33,37,37,41,48,53,56,62
Depreciation,26,24,24,24,36,19,27,27,27,27,28,31,32
Profit before tax,221,186,226,178,301,263,328,314,356,282,262,132,263
Tax %,-9%,22%,23%,-7%,15%,29%,24%,22%,31%,20%,22%,35%,19%
Net Profit +,242,145,174,190,256,187,251,245,247,224,206,86,212
EPS in Rs,2.57,1.54,1.85,2.02,2.73,1.99,2.67,2.60,2.62,2.38,2.19,0.92,2.24
Raw PDF,,,,,,,,,,,,,
