,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Revenue +,156,169,189,205,227,255,273,296,313,336,373,406,415
Interest,54,61,71,80,93,107,117,130,146,157,176,193,190
Expenses +,37,40,47,48,52,60,62,65,58,68,75,81,84
Financing Profit,65,68,71,78,82,88,95,101,109,112,123,132,141
Financing Margin %,42%,40%,38%,38%,36%,34%,35%,34%,35%,33%,33%,33%,34%
<<<<<<< HEAD
Other Income +,0,-0,0,0,4,5,5,5,5,5,1,2,2
=======
Other Income +,0,0,0,0,4,5,5,5,5,5,1,2,2
>>>>>>> 2ab835425ee6cb8d15e45cf965c5599d483e4895
Depreciation,2,2,2,2,2,3,3,3,3,3,4,4,4
Profit before tax,63,66,69,76,84,90,96,103,111,114,120,130,138
Tax %,5%,23%,22%,22%,24%,23%,23%,23%,25%,23%,23%,25%,24%
Net Profit +,60,51,54,59,64,69,74,79,83,88,92,97,105
EPS in Rs,6.87,5.84,6.19,6.69,7.27,7.84,8.43,8.92,9.43,9.87,10.34,10.86,11.63
Gross NPA %,2.30%,2.14%,1.90%,,1.61%,1.64%,1.70%,1.70%,1.70%,2.90%,1.70%,1.70%,
Net NPA %,1.80%,1.68%,,,1.07%,1.14%,1.20%,1.20%,1.20%,1.30%,1.30%,1.30%,
Raw PDF,,,,,,,,,,,,,
