,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Revenue +,"1,481","1,502","1,696","1,715","1,776","2,030","2,161","2,305","2,348","2,488","2,633","2,560","2,360"
Interest,495,505,528,566,589,648,689,749,779,848,906,925,895
Expenses +,584,568,587,575,587,671,675,729,773,846,892,"1,191","1,638"
Financing Profit,402,429,581,574,600,710,796,827,796,793,835,444,-173
Financing Margin %,27%,29%,34%,33%,34%,35%,37%,36%,34%,32%,32%,17%,-7%
Other Income +,10,1,18,19,23,27,13,21,14,24,4,3,4
Depreciation,58,49,46,53,56,56,62,62,65,64,67,70,66
Profit before tax,354,381,553,541,567,681,747,786,746,753,773,376,-236
Tax %,26%,26%,26%,27%,27%,27%,25%,27%,24%,26%,26%,26%,-14%
Net Profit +,261,282,409,393,415,498,561,575,564,557,572,278,-203
EPS in Rs,3.08,3.33,4.82,4.63,4.88,5.86,6.60,6.77,6.63,6.55,6.74,3.33,-2.26
Gross NPA %,,,,,,,,,,,,,
Net NPA %,,,,,,,,,,,,,
Raw PDF,,,,,,,,,,,,,
