,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,56.47,50.70,73.15,74.94,67.30,87.85,70.46,66.98,79.26,82.27,83.69,63.22,81.93
Expenses +,46.15,43.27,60.40,56.18,55.63,73.49,57.24,56.83,63.34,64.62,64.53,58.15,62.75
Operating Profit,10.32,7.43,12.75,18.76,11.67,14.36,13.22,10.15,15.92,17.65,19.16,5.07,19.18
OPM %,18.28%,14.65%,17.43%,25.03%,17.34%,16.35%,18.76%,15.15%,20.09%,21.45%,22.89%,8.02%,23.41%
Other Income +,7.62,4.69,5.01,6.37,3.49,2.52,5.91,2.20,4.63,2.09,2.80,8.78,-5.64
Interest,1.50,1.60,2.46,3.89,1.37,2.57,8.08,2.19,6.94,5.01,5.89,-3.81,5.62
Depreciation,5.13,5.06,5.03,5.24,5.37,5.40,4.28,3.75,3.74,4.13,4.20,4.29,4.18
Profit before tax,11.31,5.46,10.27,16.00,8.42,8.91,6.77,6.41,9.87,10.60,11.87,13.37,3.74
Tax %,20.34%,34.98%,35.74%,24.00%,32.19%,24.69%,40.18%,37.44%,35.16%,29.34%,29.32%,14.66%,58.82%
Net Profit +,9.00,3.56,6.60,12.16,5.71,6.71,4.04,4.02,6.40,7.49,8.39,11.41,1.54
EPS in Rs,9.07,4.67,8.16,13.15,5.33,6.90,4.81,4.68,5.82,7.45,9.64,13.71,1.52
Raw PDF,,,,,,,,,,,,,
