,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024
Sales +,854,655,595,679,699,678,644,753,701,700,739,809,721
Expenses +,742,688,611,636,654,675,628,681,664,759,648,699,593
Operating Profit,112,-33,-16,43,45,3,16,72,37,-59,91,110,128
OPM %,13%,-5%,-3%,6%,6%,0%,2%,10%,5%,-8%,12%,14%,18%
Other Income +,2,-169,57,-138,-1,-64,-0,24,8,10,30,9,8
Interest,80,86,73,70,83,76,79,76,77,73,73,73,60
Depreciation,62,59,64,65,66,56,55,55,55,58,54,55,55
Profit before tax,-28,-347,-96,-230,-105,-193,-118,-35,-87,-180,-6,-9,21
Tax %,-107%,-10%,-22%,-10%,-3%,23%,15%,109%,-1%,-2%,167%,78%,5%
Net Profit +,2,-311,-75,-207,-102,-237,-136,-73,-86,-177,-16,-16,20
EPS in Rs,-0.49,-17.91,-4.65,-13.12,-6.66,-14.44,-9.30,-5.34,-5.76,-11.02,-0.91,-1.43,0.86
Raw PDF,,,,,,,,,,,,,
