,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,"2,173","1,953","2,188","2,552","2,328","2,284","2,555","3,055","3,376","3,054","2,566","2,603","2,691"
Expenses +,"1,898","1,901","2,142","2,344","2,070","2,213","2,491","2,822","3,118","2,970","2,339","2,605","2,400"
Operating Profit,274,52,46,207,259,71,64,233,258,84,227,-2,292
OPM %,13%,3%,2%,8%,11%,3%,3%,8%,8%,3%,9%,-0%,11%
Other Income +,18,17,16,12,42,71,10,7,10,21,12,32,61
Interest,100,124,134,144,190,214,217,244,243,214,211,194,192
Depreciation,52,58,60,60,60,64,64,69,69,69,70,70,70
Profit before tax,141,-113,-132,15,50,-137,-207,-74,-44,-178,-41,-234,91
Tax %,-13%,1%,7%,4%,12%,1%,-1%,133%,152%,-7%,-44%,-13%,-2%
Net Profit +,159,-114,-142,14,45,-139,-206,-172,-111,-166,-23,-204,93
EPS in Rs,0.73,-0.53,-0.66,0.07,0.20,-0.65,-0.96,-0.81,-0.52,-0.78,-0.10,-0.96,0.43
Raw PDF,,,,,,,,,,,,,
