,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,69,73,75,81,72,74,75,77,128,239
Expenses +,60,61,67,69,61,63,64,64,112,220
Operating Profit,9,12,9,12,10,11,12,14,16,19
OPM %,13%,17%,11%,15%,14%,15%,16%,18%,12%,8%
Other Income +,-24,23,1,1,1,5,7,7,5,6
Interest,1,0,0,0,0,0,0,0,0,0
Depreciation,0,1,1,1,1,1,1,1,2,2
Profit before tax,-16,34,9,12,11,14,17,19,19,23
Tax %,-26%,25%,35%,25%,24%,24%,27%,23%,27%,26%
Net Profit +,-12,25,6,9,8,11,13,15,14,17
EPS in Rs,-1.88,3.73,0.77,1.27,1.12,1.13,1.32,1.58,1.44,1.45
Raw PDF,,,,,,,,,,
