,Mar 2015,Jun 2015,Sep 2015,Dec 2015,Mar 2016,Jun 2016,Sep 2016
Sales +,77.13,66.86,67.84,65.69,96.06,106.45,92.46
Expenses +,66.18,57.34,58.31,56.16,85.19,95.76,87.84
Operating Profit,10.95,9.52,9.53,9.53,10.87,10.69,4.62
OPM %,14.20%,14.24%,14.05%,14.51%,11.32%,10.04%,5.00%
Other Income +,0.63,1.25,0.63,0.30,6.09,2.09,2.84
Interest,0.56,0.42,0.54,0.76,0.72,0.64,0.72
Depreciation,2.22,2.05,2.47,2.22,2.65,2.97,3.06
Profit before tax,8.80,8.30,7.15,6.85,13.59,9.17,3.68
Tax %,34.43%,26.51%,25.45%,31.68%,-65.05%,25.30%,3.26%
Net Profit +,5.77,6.10,5.33,4.68,22.42,6.85,3.56
EPS in Rs,1.11,1.18,1.03,0.90,4.33,1.32,0.69
Raw PDF,,,,,,,
