,Mar 2023,Mar 2024,Mar 2025
Sales +,788,973,"1,344"
Expenses +,685,829,"1,154"
Operating Profit,103,143,190
OPM %,13%,15%,14%
Other Income +,5,9,-2
Interest,41,49,69
Depreciation,61,73,100
Profit before tax,5,29,19
Tax %,6%,25%,22%
Net Profit +,5,22,15
EPS in Rs,1.46,3.14,1.96
Dividend Payout %,0%,0%,0%
