,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,192,169,181,154,180,176,185,175,191,194,176,217,219
Expenses +,173,148,168,141,160,162,171,161,172,177,157,195,195
Operating Profit,19,21,14,13,20,14,14,14,19,18,19,22,25
OPM %,10%,13%,8%,9%,11%,8%,8%,8%,10%,9%,11%,10%,11%
Other Income +,1,1,3,2,2,2,3,3,3,3,3,2,2
Interest,0,0,1,0,1,0,0,1,0,0,0,1,1
Depreciation,4,4,5,5,5,5,5,5,5,6,6,6,6
Profit before tax,17,18,11,10,17,10,11,11,16,15,16,18,20
Tax %,16%,19%,56%,50%,22%,21%,24%,32%,18%,15%,16%,13%,19%
Net Profit +,14,14,5,5,13,8,8,8,13,13,13,16,17
EPS in Rs,4.55,4.56,1.54,1.62,4.05,2.49,2.67,2.41,4.14,4.06,4.12,4.92,5.11
Raw PDF,,,,,,,,,,,,,
