,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Sales +,361,630,577,828,728,928,"1,108"
Expenses +,304,545,495,682,662,795,938
Operating Profit,58,85,82,146,67,133,170
OPM %,16%,13%,14%,18%,9%,14%,15%
Other Income +,11,3,17,11,29,18,27
Interest,10,6,2,1,3,9,13
Depreciation,26,38,35,34,28,54,81
Profit before tax,33,44,61,122,66,88,103
Tax %,25%,19%,31%,30%,21%,25%,28%
Net Profit +,25,35,42,85,52,66,74
EPS in Rs,0.98,3.13,3.69,7.33,4.53,5.75,6.21
Dividend Payout %,0%,0%,27%,0%,0%,0%,0%
