,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,144,131,147,152,186,154,172,166,225,177,247,275,308
Expenses +,118,108,119,122,146,120,148,140,182,147,198,206,224
Operating Profit,26,23,28,31,41,34,25,27,43,30,49,69,85
OPM %,18%,17%,19%,20%,22%,22%,14%,16%,19%,17%,20%,25%,28%
Other Income +,0,1,1,3,-0,1,-30,3,1,1,8,2,6
Interest,1,0,0,1,1,1,1,3,2,4,0,1,1
Depreciation,3,3,3,3,3,4,4,4,5,6,7,6,7
Profit before tax,22,20,26,30,37,31,-10,24,37,20,50,63,83
Tax %,4%,27%,26%,25%,26%,28%,71%,25%,31%,26%,25%,28%,24%
Net Profit +,21,15,19,22,27,22,-17,18,26,15,38,45,63
EPS in Rs,2.92,2.04,2.61,3.06,3.73,2.71,-2.55,2.27,3.41,1.71,4.56,5.49,7.63
Raw PDF,,,,,,,,,,,,,
