,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,99,100,103,106,111,121,123,122,123,125,141,136,149
Expenses +,83,85,88,88,95,103,107,103,103,101,117,114,121
Operating Profit,15,14,15,18,15,18,16,20,20,24,24,23,27
OPM %,15%,14%,15%,17%,14%,15%,13%,16%,16%,19%,17%,17%,18%
Other Income +,2,1,2,2,5,17,7,5,4,4,4,6,4
Interest,0,0,0,0,0,0,0,0,0,0,0,0,0
Depreciation,2,2,2,4,2,2,2,2,2,3,2,3,2
Profit before tax,16,14,15,16,19,33,21,22,21,25,26,26,29
Tax %,24%,26%,26%,25%,26%,17%,29%,25%,25%,26%,26%,26%,26%
Net Profit +,12,11,11,12,14,28,15,16,16,18,19,20,22
EPS in Rs,19.13,16.53,17.11,19.20,22.30,43.31,23.13,25.54,24.82,28.97,29.95,30.61,33.93
Raw PDF,,,,,,,,,,,,,
