,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,"6,617","5,590","6,825","6,938","8,025","7,045","7,607","8,800","10,780","8,673","10,322","9,381","12,214"
Expenses +,"5,193","4,088","5,145","4,944","5,766","4,490","4,798","5,764","7,182","5,458","6,604","5,876","8,419"
Operating Profit,"1,424","1,502","1,680","1,994","2,259","2,555","2,809","3,036","3,598","3,215","3,718","3,505","3,795"
OPM %,22%,27%,25%,29%,28%,36%,37%,34%,33%,37%,36%,37%,31%
Other Income +,83,61,105,"2,810",91,70,70,60,183,150,124,85,219
Interest,866,917,"1,060","1,268","1,478","1,671","1,827","1,997","2,122","2,244","2,369","2,496","2,585"
Depreciation,33,32,35,38,40,43,46,50,52,54,60,64,68
Profit before tax,608,614,690,"3,499",832,912,"1,006","1,050","1,606","1,067","1,413","1,030","1,361"
Tax %,24%,31%,31%,6%,24%,27%,28%,28%,20%,27%,28%,30%,35%
Net Profit +,461,424,479,"3,285",636,666,725,760,"1,288",779,"1,021",724,886
EPS in Rs,1.86,1.78,2.02,13.53,2.52,2.50,2.71,2.83,4.79,2.92,3.84,2.72,3.32
Raw PDF,,,,,,,,,,,,,
