,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,"4,160","6,172","6,229","4,111","4,186","5,565","7,153","4,638","4,686","7,193","7,258","5,033","4,108"
Expenses +,"4,051","5,838","5,463","3,816","4,349","5,431","6,495","4,113","4,369","6,517","6,647","4,427","4,094"
Operating Profit,109,334,766,294,-162,134,658,525,317,676,611,606,14
OPM %,3%,5%,12%,7%,-4%,2%,9%,11%,7%,9%,8%,12%,0%
Other Income +,308,652,213,673,"-1,395",313,221,424,616,63,"3,744","-2,974","8,949"
Interest,527,527,567,657,643,571,610,578,552,470,472,468,374
Depreciation,331,350,365,368,366,371,387,379,366,348,355,359,360
Profit before tax,-442,109,47,-57,"-2,565",-495,-118,-7,15,-78,"3,527","-3,195","8,229"
Tax %,0%,3%,-6%,14%,-0%,-0%,5%,228%,136%,-11%,0%,0%,-0%
Net Profit +,-588,71,-25,-127,"-2,484",-567,-182,-301,-98,-93,"4,195","-3,186","8,262"
EPS in Rs,-17.95,-3.28,-6.17,-9.31,-76.90,-19.13,-7.42,-10.63,-5.57,-5.90,103.06,-83.26,110.75
Raw PDF,,,,,,,,,,,,,
