,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Sales +,"2,192","2,999","3,301","3,631"
Expenses +,"1,906","2,656","2,880","3,159"
Operating Profit,285,343,421,472
OPM %,13%,11%,13%,13%
Other Income +,44,47,68,99
Interest,10,38,26,36
Depreciation,36,40,51,56
Profit before tax,284,313,412,479
Tax %,26%,26%,25%,25%
Net Profit +,211,232,308,357
EPS in Rs,41.85,47.39,62.63,72.99
Dividend Payout %,12%,53%,57%,66%
