,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024
Sales +,17,19,19,337,26,24,26,89,27,27,27,162,29
Expenses +,2,1,1,2,1,1,3,3,3,3,3,4,3
Operating Profit,15,18,18,335,25,23,23,86,25,24,24,158,26
OPM %,88%,95%,93%,99%,95%,95%,89%,97%,90%,87%,88%,98%,89%
Other Income +,0,0,0,0,0,0,0,0,0,0,0,0,0
Interest,0,0,0,0,0,0,0,0,0,0,0,0,0
Depreciation,0,0,0,0,0,0,0,0,0,0,0,0,0
Profit before tax,15,18,18,335,25,23,23,86,25,24,24,158,26
Tax %,25%,26%,25%,25%,25%,25%,26%,26%,26%,18%,25%,25%,25%
Net Profit +,17,16,6,255,30,41,24,63,35,33,53,120,14
EPS in Rs,15.01,14.31,5.00,229.32,26.97,37.35,21.95,56.94,31.27,29.99,47.37,107.79,12.51
Raw PDF,,,,,,,,,,,,,
