,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,106,92,120,191,113,108,134,203,123,121,132,200,126
Expenses +,78,67,83,127,83,78,89,131,93,87,99,147,97
Operating Profit,29,25,37,64,31,30,44,72,29,34,34,53,28
OPM %,27%,27%,31%,34%,27%,28%,33%,35%,24%,28%,25%,27%,23%
Other Income +,1,1,1,1,1,2,1,1,4,1,1,1,1
Interest,5,5,5,6,5,5,7,8,6,7,8,8,7
Depreciation,6,6,6,6,7,8,8,8,8,9,9,9,9
Profit before tax,19,15,26,53,20,19,31,57,19,19,18,37,14
Tax %,27%,26%,26%,25%,29%,28%,25%,25%,28%,25%,20%,25%,4%
Net Profit +,14,11,19,39,14,14,23,43,14,15,14,28,13
EPS in Rs,1.73,1.35,2.39,4.67,1.69,1.62,2.74,5.09,1.61,1.73,1.72,3.32,1.54
Raw PDF,,,,,,,,,,,,,
