,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Revenue +,"2,189","2,075","2,230","2,339","2,075","1,900","2,227","2,143","2,205","2,207","2,422","2,017","2,107"
Interest,"1,543","1,495","1,410","1,389","1,342","1,354","1,350","1,312","1,291","1,309","1,238","1,194","1,050"
Expenses +,256,179,406,522,293,147,448,478,511,471,"4,852",389,603
Financing Profit,390,401,414,427,440,400,429,353,402,426,"-3,668",434,455
Financing Margin %,18%,19%,19%,18%,21%,21%,19%,16%,18%,19%,-151%,22%,22%
Other Income +,2,3,2,1,4,13,15,69,50,30,3,3,25
Depreciation,20,18,23,23,22,19,23,23,21,19,20,20,25
Profit before tax,372,386,393,405,422,394,422,399,431,437,"-3,685",417,455
Tax %,18%,26%,26%,28%,38%,25%,29%,24%,26%,25%,-25%,28%,29%
Net Profit +,307,287,289,291,263,294,298,303,319,327,"-2,761",302,324
EPS in Rs,4.36,4.05,4.09,4.11,3.71,4.16,4.14,4.10,4.32,6.59,-38.12,4.08,3.91
Gross NPA %,3.21%,2.96%,2.94%,3.30%,2.86%,2.87%,2.88%,2.85%,2.69%,2.68%,2.37%,1.14%,1.30%
Net NPA %,1.89%,1.71%,1.70%,2.18%,1.90%,1.69%,1.66%,1.71%,1.52%,1.52%,1.40%,0.66%,0.80%
Raw PDF,,,,,,,,,,,,,
