,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024
Sales +,622,710,565,670,868,"1,210",908,741,685,763,640,934,"1,224"
Expenses +,472,633,492,575,779,"1,094",843,666,611,701,584,856,"1,157"
Operating Profit,150,78,73,95,89,116,65,75,74,62,56,77,67
OPM %,24%,11%,13%,14%,10%,10%,7%,10%,11%,8%,9%,8%,5%
Other Income +,28,33,12,21,30,30,31,32,29,28,29,32,33
Interest,79,68,61,63,66,61,61,64,61,59,54,49,47
Depreciation,18,18,15,18,17,18,18,19,20,21,20,23,23
Profit before tax,81,25,8,34,35,67,17,25,21,11,11,36,29
Tax %,25%,43%,46%,44%,9%,27%,30%,39%,29%,36%,45%,28%,26%
Net Profit +,61,14,5,19,32,49,12,15,15,7,6,26,22
EPS in Rs,5.70,1.33,0.43,1.79,2.97,4.54,1.13,1.40,1.41,0.66,0.57,2.44,2.03
Raw PDF,,,,,,,,,,,,,
