,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,"1,054","1,049","1,069","1,080"
Expenses +,991,"1,008",990,"1,009"
Operating Profit,63,41,78,71
OPM %,6%,4%,7%,7%
Other Income +,4,3,3,10
Interest,6,8,1,7
Depreciation,18,18,18,19
Profit before tax,44,18,62,55
Tax %,26%,27%,24%,26%
Net Profit +,32,13,47,41
EPS in Rs,0.73,0.30,1.06,0.93
Raw PDF,,,,
