,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,37,19,17,20,35,24,24,25,218,43,30,33,49
Expenses +,19,12,13,10,10,14,11,12,11,9,9,9,12
Operating Profit,18,7,4,10,24,10,13,13,207,34,21,24,37
OPM %,48%,38%,22%,51%,70%,41%,54%,52%,95%,79%,70%,72%,76%
Other Income +,1,1,1,1,1,1,2,2,0,1,2,0,2
Interest,0,0,0,0,0,0,0,0,0,0,0,0,0
Depreciation,3,0,0,0,1,1,1,1,1,1,1,1,1
Profit before tax,16,8,4,10,24,10,14,15,206,34,22,23,38
Tax %,-5%,41%,103%,34%,18%,133%,37%,24%,15%,29%,35%,25%,44%
Net Profit +,76,41,33,65,99,71,91,102,269,110,89,106,107
EPS in Rs,3.53,1.85,1.50,2.91,4.44,3.18,4.08,4.61,12.13,4.97,4.00,4.76,4.82
Raw PDF,,,,,,,,,,,,,
