,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Revenue +,555,593,629,673,692,713,764,798,833
Interest,213,235,239,251,262,277,285,297,315
Expenses +,133,166,132,156,166,173,180,187,197
Financing Profit,209,192,258,266,264,263,299,314,321
Financing Margin %,38%,32%,41%,40%,38%,37%,39%,39%,39%
Other Income +,-25,0,0,0,0,0,0,0,1
Depreciation,4,5,5,5,6,6,6,6,6
Profit before tax,180,187,253,261,259,257,292,308,316
Tax %,22%,22%,22%,22%,22%,22%,22%,22%,22%
Net Profit +,141,146,197,204,202,200,228,239,245
EPS in Rs,3.56,3.71,5.00,5.17,5.11,4.69,5.29,5.56,5.68
Gross NPA %,,1.46%,1.40%,1.40%,1.10%,1.31%,1.30%,1.36%,
Net NPA %,,1.10%,0.90%,0.97%,0.70%,0.90%,0.90%,0.95%,
Raw PDF,,,,,,,,,
