,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,"1,071","1,207",313,407,88,515,760,583,"1,178",915,"1,030","1,837","2,519"
Expenses +,"1,195","1,551",683,471,441,552,758,599,"1,149",890,"1,012","1,767","2,386"
Operating Profit,-124,-344,-370,-64,-352,-37,1,-16,29,25,18,70,134
OPM %,-12%,-28%,-118%,-16%,-398%,-7%,0%,-3%,2%,3%,2%,4%,5%
Other Income +,23,4,98,11,-2,7,17,27,33,13,34,5,-13
Interest,19,15,33,38,60,62,64,68,25,19,28,31,31
Depreciation,4,3,3,4,4,3,4,4,4,4,4,3,3
Profit before tax,-123,-358,-308,-95,-418,-95,-50,-61,34,15,20,41,87
Tax %,3%,-1%,-3%,4%,1%,-0%,9%,3%,96%,67%,57%,58%,37%
Net Profit +,-127,-356,-299,-99,-421,-95,-55,-62,1,5,9,17,55
EPS in Rs,-6.66,-18.66,-15.65,-5.34,-22.01,-5.03,-2.86,-2.73,0.06,0.18,0.30,0.64,2.37
Raw PDF,,,,,,,,,,,,,
