,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,"2,761","2,864","2,776","2,743","2,639","2,464","4,119","3,340","3,938","4,290","4,810","4,988","5,462"
Expenses +,"2,675","2,805","2,710","2,665","2,565","2,410","4,038","3,267","3,843","4,174","4,660","4,848","5,340"
Operating Profit,86,60,66,78,74,54,81,72,94,116,150,140,122
OPM %,3%,2%,2%,3%,3%,2%,2%,2%,2%,3%,3%,3%,2%
Other Income +,6,3,3,4,7,7,7,8,9,8,8,8,10
Interest,13,18,23,26,24,23,37,30,34,42,49,44,48
Depreciation,7,7,7,7,7,7,8,8,9,14,13,13,14
Profit before tax,71,37,39,48,50,31,43,43,60,68,97,91,70
Tax %,19%,24%,24%,24%,25%,24%,22%,21%,26%,22%,26%,20%,30%
Net Profit +,58,28,29,37,38,24,34,34,44,53,71,72,49
EPS in Rs,3.92,1.92,2.00,2.50,2.56,1.63,2.29,2.28,3.00,3.58,4.84,4.91,3.30
Raw PDF,,,,,,,,,,,,,
