,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,391,497,304,304,350,487,316,334,365,543,353,344,419
Expenses +,355,422,273,294,316,433,287,300,325,486,312,307,375
Operating Profit,35,74,30,11,34,54,29,34,40,57,41,37,44
OPM %,9%,15%,10%,3%,10%,11%,9%,10%,11%,10%,12%,11%,10%
Other Income +,2,5,9,7,7,4,3,3,4,3,3,4,6
Interest,3,3,4,7,7,6,6,7,6,4,3,4,5
Depreciation,7,8,8,8,9,9,9,9,10,9,9,9,9
Profit before tax,28,68,26,2,25,43,18,20,28,47,33,27,35
Tax %,29%,29%,43%,98%,-73%,23%,56%,36%,30%,23%,60%,43%,19%
Net Profit +,46,61,3,1,58,40,-4,26,44,39,17,89,36
EPS in Rs,5.34,7.00,0.30,0.10,6.73,4.56,-0.48,3.04,5.05,4.54,1.94,10.24,4.11
Raw PDF,,,,,,,,,,,,,
