,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,131,128,135,128,136,135,148,135,154,157,177,166,187
Expenses +,93,92,103,100,111,100,110,103,121,115,129,124,130
Operating Profit,38,36,32,28,25,35,38,32,34,42,48,42,57
OPM %,29%,28%,23%,22%,18%,26%,25%,23%,22%,27%,27%,25%,30%
Other Income +,3,1,2,3,4,1,3,3,3,4,3,4,5
Interest,1,1,1,1,1,1,1,1,1,1,1,1,1
Depreciation,10,9,9,10,11,10,11,13,13,11,13,17,14
Profit before tax,30,28,24,20,17,25,28,20,23,34,37,28,47
Tax %,29%,22%,35%,25%,28%,31%,28%,26%,25%,29%,28%,32%,54%
Net Profit +,21,22,15,15,12,17,20,15,17,24,26,19,22
EPS in Rs,4.01,4.11,2.92,2.78,2.38,3.27,3.84,2.90,3.36,4.56,5.04,3.61,4.09
Raw PDF,,,,,,,,,,,,,
