,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,130,128,148,158,177,165,190,210,240,249,286,285,283
Expenses +,96,96,105,116,118,126,147,160,179,190,217,219,214
Operating Profit,34,32,42,43,58,39,43,50,61,59,69,66,69
OPM %,26%,25%,29%,27%,33%,24%,23%,24%,25%,24%,24%,23%,24%
Other Income +,1,0,1,3,3,5,4,5,6,7,8,7,8
Interest,1,1,0,1,1,0,0,0,1,0,1,1,1
Depreciation,5,6,6,6,6,6,6,6,6,6,7,7,7
Profit before tax,29,26,37,38,55,38,41,48,60,59,69,64,69
Tax %,23%,26%,25%,26%,25%,25%,25%,25%,25%,25%,26%,25%,25%
Net Profit +,23,19,28,28,41,28,30,36,45,44,52,48,52
EPS in Rs,5.48,4.68,6.67,6.88,9.96,6.78,7.35,8.62,10.76,10.67,12.44,11.64,12.50
Raw PDF,,,,,,,,,,,,,
