,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024
Sales +,417,374,213,174,356,511,170,309,198,746,138,196,200
Expenses +,397,338,208,164,333,465,162,291,184,708,143,199,197
Operating Profit,20,36,5,10,23,46,8,18,15,38,-5,-4,3
OPM %,5%,10%,2%,6%,6%,9%,4%,6%,7%,5%,-3%,-2%,2%
Other Income +,9,1,7,6,6,10,11,12,11,16,18,20,18
Interest,3,5,5,7,9,5,7,6,8,9,5,2,2
Depreciation,1,1,0,0,0,0,0,1,2,2,3,3,4
Profit before tax,26,32,6,9,20,50,12,24,16,43,5,11,16
Tax %,31%,-1%,14%,13%,14%,18%,17%,17%,17%,24%,44%,51%,37%
Net Profit +,18,32,6,8,17,41,10,20,13,33,3,5,10
EPS in Rs,52.03,4.19,0.72,1.02,1.77,4.25,0.99,2.05,1.38,2.96,0.26,0.47,0.90
Raw PDF,,,,,,,,,,,,,
