,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,75,122,160,179,182,189,215,330,289,348,360,458,569
Expenses +,39,80,107,120,128,120,144,227,196,216,226,322,408
Operating Profit,36,42,53,60,54,69,71,104,93,132,134,137,161
OPM %,48%,34%,33%,33%,30%,37%,33%,31%,32%,38%,37%,30%,28%
Other Income +,1,0,0,0,2,1,1,1,3,0,1,8,8
Interest,14,11,11,12,13,20,18,23,25,28,23,15,14
Depreciation,4,5,6,6,6,9,10,10,11,14,15,15,16
Profit before tax,18,26,36,43,37,41,44,72,60,91,97,115,139
Tax %,46%,15%,42%,19%,14%,19%,21%,29%,28%,27%,28%,26%,25%
Net Profit +,10,22,21,34,32,33,35,51,43,66,70,85,104
EPS in Rs,0.61,1.37,1.30,2.12,1.95,2.05,2.14,2.80,2.38,3.66,3.55,4.29,5.04
Raw PDF,,,,,,,,,,,,,
