,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024
Sales +,272,341,261,263,262,264,260,313,287,292,293,344,319
Expenses +,228,268,241,253,231,227,214,255,222,222,222,258,239
Operating Profit,44,73,20,10,31,37,46,58,65,70,70,86,81
OPM %,16%,21%,8%,4%,12%,14%,18%,19%,23%,24%,24%,25%,25%
Other Income +,5,5,8,4,3,2,2,2,2,9,9,5,1
Interest,10,9,10,13,18,18,18,23,26,24,24,26,12
Depreciation,21,22,22,23,24,26,27,28,27,27,27,28,29
Profit before tax,19,46,-4,-22,-8,-4,3,9,14,28,29,37,42
Tax %,50%,36%,-158%,-17%,-13%,90%,64%,83%,67%,12%,51%,51%,24%
Net Profit +,10,30,2,-19,-7,-8,1,2,5,24,14,18,32
EPS in Rs,1.10,3.40,0.10,-2.15,-0.76,-0.93,0.14,0.19,0.53,2.82,1.44,1.83,3.25
Raw PDF,,,,,,,,,,,,,
