,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,"1,434",825,722,"1,017","1,482",638,581,632,"1,312",785,777,929,"1,829"
Expenses +,"1,144",772,656,810,"1,164",697,560,563,"1,057",708,687,815,"1,525"
Operating Profit,290,53,65,207,318,-59,21,69,255,77,90,115,303
OPM %,20%,6%,9%,20%,21%,-9%,4%,11%,19%,10%,12%,12%,17%
Other Income +,3,20,10,3,7,26,24,12,-2,19,25,1,25
Interest,1,1,0,1,2,1,5,1,0,1,0,0,0
Depreciation,72,55,60,65,68,70,74,69,54,65,69,69,72
Profit before tax,220,18,15,143,255,-105,-34,12,198,31,46,46,256
Tax %,20%,-28%,17%,24%,22%,-15%,-18%,62%,28%,11%,7%,32%,20%
Net Profit +,177,23,12,108,199,-89,-28,5,143,27,42,31,204
EPS in Rs,19.62,2.51,1.34,12.01,22.04,-9.82,-3.06,0.51,15.90,3.02,4.70,3.45,22.56
Raw PDF,,,,,,,,,,,,,
