,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,80,63,94,106,130,128,158,140,176,171,174,175,192
Expenses +,74,59,85,98,119,116,142,127,160,155,157,157,171
Operating Profit,6,5,9,7,11,11,15,13,16,17,17,19,21
OPM %,7%,7%,9%,7%,8%,9%,10%,9%,9%,10%,10%,11%,11%
Other Income +,4,3,3,3,5,3,2,3,3,3,3,3,5
Interest,0,0,0,1,1,1,1,1,1,1,1,1,1
Depreciation,2,2,1,3,3,3,4,4,4,4,4,4,4
Profit before tax,7,5,11,7,13,11,13,11,15,15,16,17,20
Tax %,16%,18%,21%,19%,21%,22%,22%,21%,22%,22%,25%,21%,19%
Net Profit +,6,4,8,6,10,8,10,9,12,12,12,13,16
EPS in Rs,2.55,1.70,3.53,2.39,4.18,3.46,4.34,3.59,4.88,4.84,5.02,5.63,6.89
Raw PDF,,,,,,,,,,,,,
