,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Sales +,590,651,598,839
Expenses +,422,465,466,598
Operating Profit,168,186,132,241
OPM %,28%,29%,22%,29%
Other Income +,7,17,25,30
Interest,13,5,9,13
Depreciation,15,23,40,45
Profit before tax,146,174,110,213
Tax %,26%,25%,25%,26%
Net Profit +,109,130,82,158
EPS in Rs,9.67,10.47,6.22,11.95
Dividend Payout %,0%,0%,0%,0%
