,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024
Sales +,933,966,994,"1,121","1,190","1,253","1,284","1,409","1,441","1,490","1,489","1,576","1,561"
Expenses +,872,914,941,"1,061","1,119","1,171","1,213","1,324","1,350","1,385","1,395","1,452","1,429"
Operating Profit,61,52,53,60,72,82,71,85,92,106,94,124,133
OPM %,7%,5%,5%,5%,6%,7%,6%,6%,6%,7%,6%,8%,8%
Other Income +,7,13,10,11,11,14,9,10,10,10,9,12,13
Interest,17,19,20,20,21,22,23,24,24,25,25,25,26
Depreciation,30,34,38,42,46,56,52,55,57,59,60,63,62
Profit before tax,22,13,5,9,16,17,5,16,20,32,18,48,57
Tax %,22%,10%,24%,27%,17%,-54%,26%,12%,31%,-5%,19%,19%,19%
Net Profit +,17,11,4,6,13,27,4,15,14,34,14,39,46
EPS in Rs,1.44,0.98,0.27,0.55,1.12,2.23,0.32,1.22,1.15,2.79,1.20,3.24,3.83
Raw PDF,,,,,,,,,,,,,
