,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024
Sales +,148,148,153,161,159,175,183,194,199,203,204,215,201
Expenses +,130,127,134,140,136,150,157,166,168,172,175,183,169
Operating Profit,19,21,19,21,23,25,25,28,30,31,30,33,33
OPM %,13%,14%,12%,13%,14%,14%,14%,15%,15%,15%,15%,15%,16%
Other Income +,4,4,4,4,4,6,6,7,7,51,8,9,8
Interest,3,3,2,3,3,3,3,3,4,3,3,3,3
Depreciation,5,6,6,6,6,6,6,6,6,8,8,8,8
Profit before tax,14,17,15,16,17,21,22,25,28,71,26,30,29
Tax %,22%,25%,21%,21%,20%,21%,21%,21%,19%,30%,22%,22%,19%
Net Profit +,11,13,12,13,14,17,17,20,23,50,21,23,24
EPS in Rs,1.82,2.04,1.93,2.12,2.23,2.74,2.82,3.25,3.69,8.07,3.34,3.79,3.86
Raw PDF,,,,,,,,,,,,,
