,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,60.45,51.77,60.64,37.30,52.32,61.95,78.42,44.56,86.79,82.86,94.60,165.92,74.08
Expenses +,56.66,45.98,53.44,32.61,44.11,45.29,56.55,39.68,71.70,67.36,77.97,150.47,64.52
Operating Profit,3.79,5.79,7.20,4.69,8.21,16.66,21.87,4.88,15.09,15.50,16.63,15.45,9.56
OPM %,6.27%,11.18%,11.87%,12.57%,15.69%,26.89%,27.89%,10.95%,17.39%,18.71%,17.58%,9.31%,12.90%
Other Income +,0.71,0.45,0.80,0.78,0.14,0.30,0.41,2.88,0.56,1.17,1.06,0.22,0.51
Interest,1.94,2.06,1.98,2.14,2.73,2.81,3.26,2.26,2.18,3.18,2.54,3.99,1.11
Depreciation,2.27,2.37,2.40,2.58,2.47,2.70,2.79,3.06,2.97,2.81,2.87,2.87,2.93
Profit before tax,0.29,1.81,3.62,0.75,3.15,11.45,16.23,2.44,10.50,10.68,12.28,8.81,6.03
Tax %,62.07%,28.73%,28.18%,14.67%,22.54%,27.86%,28.16%,29.51%,35.43%,31.46%,31.35%,-4.88%,37.81%
Net Profit +,0.11,1.30,2.60,0.64,2.43,8.26,11.66,1.72,6.78,7.33,8.43,9.23,3.75
EPS in Rs,0.06,0.24,0.48,0.12,0.45,1.53,2.17,0.32,1.25,1.36,1.57,1.71,0.70
Raw PDF,,,,,,,,,,,,,
