,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,"2,664","2,884","2,596","2,322","2,841","2,921","2,849","2,877","3,366","3,134","2,497","2,590","3,096"
Expenses +,"2,445","2,607","2,244","2,165","2,671","2,527","2,508","2,520","3,036","2,656","1,962","2,113","2,435"
Operating Profit,219,277,352,157,170,394,341,357,330,478,535,477,661
OPM %,8%,10%,14%,7%,6%,13%,12%,12%,10%,15%,21%,18%,21%
Other Income +,5,39,50,310,48,24,135,155,149,20,182,138,86
Interest,256,290,282,201,128,256,261,244,252,297,322,320,309
Depreciation,98,99,101,101,97,97,96,95,90,88,86,86,87
Profit before tax,-131,-74,19,165,-7,64,118,173,137,113,309,208,350
Tax %,-69%,-25%,33%,33%,859%,81%,38%,35%,98%,-23%,14%,24%,21%
Net Profit +,-41,-55,13,110,-70,12,73,113,3,140,266,158,277
EPS in Rs,-3.80,-3.69,1.16,7.59,-5.00,0.87,4.69,7.34,0.37,8.17,16.09,7.88,11.68
Raw PDF,,,,,,,,,,,,,
