,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,650,741,695,944,822,772,831,"1,012"
Expenses +,563,614,555,779,678,649,707,884
Operating Profit,87,127,140,164,144,123,123,128
OPM %,13%,17%,20%,17%,18%,16%,15%,13%
Other Income +,8,9,12,8,8,15,11,23
Interest,23,24,21,26,35,35,27,37
Depreciation,12,14,13,16,13,14,12,16
Profit before tax,60,97,117,131,104,88,95,98
Tax %,27%,24%,33%,17%,25%,26%,25%,26%
Net Profit +,44,74,78,108,78,66,71,72
EPS in Rs,5.63,4.70,5.04,6.93,5.05,3.86,4.20,4.25
Raw PDF,,,,,,,,
