,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,112,98,95,100,107,104,109,115,121,124,139,132,142
Expenses +,17,17,16,17,14,22,17,17,17,24,20,19,21
Operating Profit,95,81,79,83,93,82,92,99,105,99,120,113,121
OPM %,85%,82%,83%,83%,87%,78%,85%,86%,86%,80%,86%,86%,85%
Other Income +,24,16,20,23,28,25,28,29,30,34,31,32,37
Interest,0,1,1,1,1,1,1,1,1,1,1,1,1
Depreciation,4,4,5,5,5,5,5,5,5,5,5,5,5
Profit before tax,114,92,94,101,116,101,114,122,129,128,145,139,152
Tax %,23%,25%,24%,23%,24%,25%,24%,25%,25%,25%,25%,23%,23%
Net Profit +,88,69,71,77,88,76,86,92,97,96,108,107,117
EPS in Rs,0.98,0.77,0.79,0.86,0.99,0.85,0.97,1.03,1.08,1.08,1.21,1.20,1.31
Raw PDF,,,,,,,,,,,,,
