,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Sales +,142,286,327,560,924
Expenses +,130,249,277,441,673
Operating Profit,12,37,50,119,251
OPM %,9%,13%,15%,21%,27%
Other Income +,5,8,13,10,17
Interest,7,5,11,14,11
Depreciation,1,1,1,2,3
Profit before tax,10,39,51,114,254
Tax %,22%,24%,23%,18%,20%
Net Profit +,8,30,39,94,204
EPS in Rs,1.11,3.63,4.67,9.13,18.63
Dividend Payout %,-0%,3%,-0%,2%,1%
