,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024
Sales +,"1,069","1,332","1,569","1,322","1,103","1,093","1,554","1,278","1,253","1,284","1,506","1,355","1,366"
Expenses +,"1,004","1,217","1,466","1,247","1,023",960,"1,416","1,185","1,157","1,154","1,346","1,219","1,205"
Operating Profit,65,115,103,75,80,134,138,94,97,130,160,136,160
OPM %,6%,9%,7%,6%,7%,12%,9%,7%,8%,10%,11%,10%,12%
Other Income +,12,16,7,26,28,20,33,34,34,36,35,42,39
Interest,0,0,0,0,0,1,0,0,0,1,1,1,1
Depreciation,10,10,10,10,11,12,13,14,14,14,14,15,15
Profit before tax,66,121,100,90,96,140,157,113,116,151,180,162,184
Tax %,34%,24%,27%,26%,27%,28%,27%,27%,28%,25%,23%,25%,23%
Net Profit +,44,92,73,67,71,101,115,83,83,113,138,121,141
EPS in Rs,2.95,6.19,4.86,4.16,4.58,6.85,7.81,5.45,5.32,7.64,9.41,8.34,9.92
Raw PDF,,,,,,,,,,,,,
