,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024
Sales +,"1,243",873,"1,296","1,598","1,644","1,214","1,045"
Expenses +,"1,461","1,308","1,597","1,910","1,849","1,593","1,505"
Operating Profit,-218,-435,-301,-312,-205,-379,-460
OPM %,-18%,-50%,-23%,-20%,-12%,-31%,-44%
Other Income +,34,49,71,73,51,100,127
Interest,36,46,43,61,67,84,93
Depreciation,47,92,103,116,126,132,138
Profit before tax,-267,-524,-376,-416,-347,-495,-564
Tax %,0%,0%,0%,0%,0%,0%,0%
Net Profit +,-267,-524,-376,-416,-347,-495,-564
EPS in Rs,-1.37,-2.68,-1.92,-2.13,-1.45,-1.12,-1.28
Raw PDF,,,,,,,
