,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Sales +,547,565,408,555,737,879,937
Expenses +,481,503,373,487,643,746,785
Operating Profit,66,62,35,68,94,133,152
OPM %,12%,11%,9%,12%,13%,15%,16%
Other Income +,2,4,7,3,7,7,33
Interest,11,13,13,12,20,31,32
Depreciation,20,23,22,22,31,40,45
Profit before tax,37,31,8,37,51,68,108
Tax %,45%,36%,18%,16%,25%,28%,24%
Net Profit +,20,19,6,31,38,49,82
EPS in Rs,0.97,1.49,0.49,2.40,2.88,3.62,6.00
Dividend Payout %,0%,0%,0%,0%,16%,12%,7%
