,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024
Sales +,601,719,699,824,777,892,892,899,996,"1,023",959,"1,054","1,074"
Expenses +,460,571,549,649,604,698,700,699,776,806,756,821,842
Operating Profit,141,148,150,175,173,194,192,200,220,217,204,232,231
OPM %,24%,21%,21%,21%,22%,22%,22%,22%,22%,21%,21%,22%,22%
Other Income +,1,0,1,1,1,2,5,7,4,19,11,84,4
Interest,27,27,26,29,31,34,36,38,39,36,36,39,42
Depreciation,45,46,47,50,49,56,57,61,68,72,62,60,64
Profit before tax,71,75,77,98,94,106,104,109,117,128,115,218,129
Tax %,36%,-12%,33%,31%,35%,36%,24%,24%,25%,27%,30%,13%,23%
Net Profit +,45,84,51,67,61,68,79,82,87,94,81,190,100
EPS in Rs,2.83,5.24,3.21,4.20,3.81,4.28,4.91,5.00,4.80,5.19,4.47,10.49,5.51
Raw PDF,,,,,,,,,,,,,
