,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,TTM
Sales +,723,495,461,596,789,784
Expenses +,635,439,393,522,679,689
Operating Profit,87,57,68,74,109,95
OPM %,12%,11%,15%,12%,14%,12%
Other Income +,16,18,10,19,18,24
Interest,43,30,28,34,47,40
Depreciation,33,36,36,38,45,49
Profit before tax,27,9,13,20,36,30
Tax %,54%,-60%,38%,36%,26%,
Net Profit +,13,14,8,13,26,24
EPS in Rs,8.52,9.06,7.73,12.23,4.94,3.99
Dividend Payout %,6%,0%,0%,0%,0%,
