,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,916,"1,366","1,447","1,421","1,456","1,284","1,229","1,245","1,497","1,508","1,354","1,237","1,223"
Expenses +,530,628,654,625,609,492,586,595,561,597,701,626,721
Operating Profit,386,738,793,796,847,792,643,650,937,911,654,611,502
OPM %,42%,54%,55%,56%,58%,62%,52%,52%,63%,60%,48%,49%,41%
Other Income +,67,-15,253,101,95,51,232,151,229,195,225,264,150
Interest,111,93,88,85,77,62,77,67,59,61,64,61,51
Depreciation,151,179,181,184,167,180,187,194,166,197,206,205,205
Profit before tax,191,450,777,629,698,601,612,540,942,848,610,608,396
Tax %,1%,-1%,1%,0%,-4%,4%,3%,0%,4%,4%,6%,2%,8%
Net Profit +,189,457,769,627,722,576,595,538,905,812,576,594,363
EPS in Rs,13.23,32.01,53.85,43.93,50.57,40.36,41.65,37.70,63.40,56.87,40.32,41.58,25.43
Raw PDF,,,,,,,,,,,,,
