,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024
Sales +,51,75,80,87,130,111,121,346,184,290,123,55,133
Expenses +,55,68,65,92,120,103,113,313,152,269,129,66,116
Operating Profit,-4,6,15,-5,10,9,8,33,33,20,-6,-12,17
OPM %,-7%,9%,18%,-6%,8%,8%,7%,10%,18%,7%,-5%,-22%,13%
Other Income +,-0,4,1,5,5,5,8,5,5,7,5,5,2
Interest,1,1,1,1,1,1,1,1,0,0,2,1,1
Depreciation,2,1,2,2,2,2,2,2,3,2,3,3,3
Profit before tax,-7,8,13,-3,13,11,13,35,35,25,-5,-10,15
Tax %,-48%,18%,20%,-33%,29%,9%,16%,23%,20%,30%,19%,-28%,27%
Net Profit +,-4,6,10,-2,9,10,11,27,28,17,-5,-8,11
EPS in Rs,-0.38,0.62,1.00,-0.18,0.88,1.01,1.06,2.72,2.77,1.73,-0.54,-0.75,1.08
Raw PDF,,,,,,,,,,,,,
