,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,657,677,776,749,980,"1,038","1,179","1,130","1,105","1,151","1,214","1,576","1,749"
Expenses +,502,512,604,591,792,823,942,910,898,954,"1,021","1,377","1,506"
Operating Profit,155,165,172,158,188,214,238,220,207,197,193,199,244
OPM %,24%,24%,22%,21%,19%,21%,20%,19%,19%,17%,16%,13%,14%
Other Income +,4,1,2,5,5,4,5,4,6,5,7,-6,-5
Interest,24,25,23,30,42,42,42,44,46,49,41,58,68
Depreciation,54,53,55,54,60,68,67,70,72,72,76,103,95
Profit before tax,81,87,96,80,92,107,134,109,94,81,82,31,76
Tax %,37%,35%,35%,35%,12%,25%,22%,26%,25%,26%,25%,59%,12%
Net Profit +,51,57,62,52,80,81,104,81,71,59,62,13,67
EPS in Rs,24.36,26.81,29.57,24.43,36.76,35.25,44.75,34.61,29.50,22.30,25.86,5.42,27.99
Raw PDF,,,,,,,,,,,,,
