,Mar 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Revenue +,143,140,150,170,182,204,209,235,252,283,304,327
Interest,43,50,58,56,68,72,74,75,77,85,92,102
Expenses +,39,45,44,51,57,59,61,67,73,79,85,83
Financing Profit,61,45,49,63,57,73,74,93,102,119,127,142
Financing Margin %,42%,32%,32%,37%,31%,36%,35%,40%,40%,42%,42%,44%
Other Income +,5,4,6,8,6,7,10,10,9,1,0,0
Depreciation,2,2,2,2,2,2,2,3,3,3,3,3
Profit before tax,64,47,53,68,61,77,81,100,108,117,124,140
Tax %,23%,24%,23%,22%,23%,22%,23%,22%,23%,23%,23%,23%
Net Profit +,50,36,40,53,47,60,62,78,84,90,96,108
EPS in Rs,11.33,8.23,9.17,12.10,10.73,6.69,5.82,7.28,7.79,8.39,8.92,10.02
Gross NPA %,,,,1.13%,1.09%,,1.20%,0.97%,1.14%,1.24%,1.25%,
Net NPA %,,,,0.85%,0.80%,,0.90%,0.73%,0.86%,0.94%,0.94%,
Raw PDF,,,,,,,,,,,,
