,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,"8,797","9,387","8,336","7,866","8,509","7,282","6,791","7,310","7,549","8,130","8,252","8,614","9,087"
Expenses +,"3,835","4,250","3,929","4,159","4,254","3,935","3,652","3,789","3,900","4,184","4,129","4,115","4,267"
Operating Profit,"4,962","5,137","4,407","3,707","4,255","3,347","3,139","3,521","3,649","3,946","4,123","4,499","4,820"
OPM %,56%,55%,53%,47%,50%,46%,46%,48%,48%,49%,50%,52%,53%
Other Income +,277,310,367,348,354,282,223,296,273,268,187,218,227
Interest,66,44,51,62,176,218,232,243,262,256,303,285,251
Depreciation,816,731,798,807,928,801,825,905,937,844,877,905,"1,014"
Profit before tax,"4,357","4,672","3,925","3,186","3,505","2,610","2,305","2,669","2,723","3,114","3,130","3,527","3,782"
Tax %,33%,34%,32%,32%,26%,25%,25%,24%,25%,25%,26%,24%,21%
Net Profit +,"2,928","3,092","2,680","2,156","2,583","1,964","1,729","2,028","2,038","2,345","2,327","2,678","3,003"
EPS in Rs,6.93,7.32,6.34,5.10,6.11,4.65,4.09,4.80,4.82,5.55,5.51,6.34,7.11
Raw PDF,,,,,,,,,,,,,
