,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024
Sales +,323,253,152,194,133,108,196,96,101,21,387,246,278
Expenses +,379,261,188,103,378,463,254,119,134,335,418,247,276
Operating Profit,-56,-8,-36,91,-245,-355,-58,-23,-33,-314,-31,-1,3
OPM %,-17%,-3%,-24%,47%,-185%,-328%,-29%,-24%,-33%,"-1,496%",-8%,-0%,1%
Other Income +,33,20,13,9,15,-14,-616,12,11,19,16,41,31
Interest,29,24,17,6,3,1,1,3,4,2,5,4,5
Depreciation,3,3,3,3,3,3,3,3,3,3,3,3,2
Profit before tax,-55,-16,-44,90,-236,-373,-677,-16,-28,-301,-22,34,27
Tax %,57%,271%,17%,37%,0%,1%,0%,11%,36%,0%,26%,28%,17%
Net Profit +,-87,-61,-52,57,-237,-376,-679,-18,-38,-302,-28,24,22
EPS in Rs,-1.91,-1.31,-0.96,1.04,-4.38,-6.94,-12.55,-0.34,-0.71,-5.58,-0.45,0.38,0.35
Raw PDF,,,,,,,,,,,,,
