,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Sales +,698,719,576,835,"1,124","1,293","1,454"
Expenses +,684,669,563,798,"1,013","1,173","1,318"
Operating Profit,15,51,14,37,111,120,136
OPM %,2%,7%,2%,4%,10%,9%,9%
Other Income +,5,4,7,6,12,13,21
Interest,5,5,4,9,7,9,2
Depreciation,5,5,9,12,7,8,12
Profit before tax,9,45,8,23,109,116,143
Tax %,23%,13%,18%,24%,25%,26%,24%
Net Profit +,7,40,6,17,81,86,108
EPS in Rs,4.61,26.43,4.29,11.42,54.30,59.84,64.80
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%
