,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,TTM
Sales +,471,606,170,323,739,957,"1,090"
Expenses +,392,455,239,311,501,691,720
Operating Profit,79,150,-69,11,238,267,370
OPM %,17%,25%,-41%,4%,32%,28%,34%
Other Income +,-44,-118,8,-8,42,-52,29
Interest,220,252,309,347,522,345,231
Depreciation,119,126,112,101,96,114,119
Profit before tax,-304,-346,-482,-444,-339,-244,49
Tax %,0%,-0%,-1%,0%,0%,-4%,
Net Profit +,-305,-344,-478,-444,-339,-235,51
EPS in Rs,-406.69,-45.11,-62.64,-58.21,-39.68,-10.76,2.32
Dividend Payout %,0%,0%,0%,0%,0%,0%,
