,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,"1,255","1,273","1,078","1,130","1,428","1,163","1,116","1,302","1,346","1,090","1,125","1,131","1,267"
Expenses +,"1,041","1,106",984,"1,022","1,322","1,061","1,012","1,176","1,235",985,"1,015","1,008","1,204"
Operating Profit,214,167,94,108,107,102,103,126,111,106,110,123,62
OPM %,17%,13%,9%,10%,7%,9%,9%,10%,8%,10%,10%,11%,5%
Other Income +,20,16,16,28,14,27,42,39,37,29,20,9,25
Interest,2,4,3,2,4,6,6,3,3,3,4,3,6
Depreciation,23,24,24,24,23,30,30,30,30,31,31,32,32
Profit before tax,209,155,84,109,93,92,109,131,115,100,94,97,49
Tax %,27%,26%,23%,25%,25%,23%,24%,23%,21%,24%,26%,27%,35%
Net Profit +,153,115,64,82,69,71,83,101,91,77,69,71,32
EPS in Rs,3.34,2.50,1.40,1.79,1.51,1.55,1.80,2.20,1.99,1.67,1.51,1.56,0.70
Raw PDF,,,,,,,,,,,,,
