,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,"1,537","2,051","1,931","1,827","1,734","2,157","1,957","1,919","1,769","2,133","1,951","1,922","1,817"
Expenses +,"1,453","1,796","1,732","1,631","1,565","1,825","1,683","1,675","1,590","1,803","1,739","1,687","1,651"
Operating Profit,84,255,199,195,168,332,273,244,179,330,212,235,166
OPM %,5%,12%,10%,11%,10%,15%,14%,13%,10%,15%,11%,12%,9%
Other Income +,-1,5,4,7,10,678,22,20,33,34,27,671,37
Interest,8,8,6,7,7,7,8,7,7,7,7,9,8
Depreciation,43,43,45,46,46,47,47,48,48,48,49,53,52
Profit before tax,32,208,152,149,125,956,240,208,157,308,183,844,144
Tax %,40%,27%,27%,27%,23%,23%,27%,27%,27%,27%,34%,22%,29%
Net Profit +,19,152,111,109,96,734,175,152,114,225,120,662,102
EPS in Rs,0.31,1.93,1.40,1.36,1.16,9.13,2.19,1.91,1.44,2.86,1.52,8.42,1.34
Raw PDF,,,,,,,,,,,,,
