,Mar 2002,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Revenue +,"3,171","16,976","16,736","19,407","24,066","28,144"
Interest,"2,203","11,069","10,419","11,146","14,226","17,244"
Expenses +,"1,273","10,367","9,270","9,763","11,746","11,933"
Financing Profit,-305,"-4,461","-2,954","-1,503","-1,906","-1,034"
Financing Margin %,-10%,-26%,-18%,-8%,-8%,-4%
Other Income +,536,"5,486","4,905","4,116","5,665","5,607"
Depreciation,-0,258,173,260,336,-0
Profit before tax,231,767,"1,779","2,353","3,423","4,573"
Tax %,-0%,1%,4%,11%,22%,26%
Net Profit +,231,758,"1,709","2,104","2,666","3,396"
EPS in Rs,,0.46,0.90,1.11,1.41,1.76
Dividend Payout %,23%,-0%,-0%,-0%,-0%,-0%
