,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024
Sales +,6.31,11.98,7.61,96.96,18.11,9.58,25.17,26.65,25.66,10.92,39.65,59.75,13.55
Expenses +,0.71,4.46,-5.00,0.53,11.58,1.21,1.32,1.09,5.29,6.20,0.90,15.27,2.39
Operating Profit,5.60,7.52,12.61,96.43,6.53,8.37,23.85,25.56,20.37,4.72,38.75,44.48,11.16
OPM %,88.75%,62.77%,165.70%,99.45%,36.06%,87.37%,94.76%,95.91%,79.38%,43.22%,97.73%,74.44%,82.36%
Other Income +,3.13,0.02,0.00,0.49,0.81,0.01,0.30,0.53,0.31,0.06,0.06,0.90,0.00
Interest,0.00,0.00,0.22,0.19,0.06,0.41,0.15,0.00,0.00,0.00,0.00,0.00,0.03
Depreciation,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01
Profit before tax,8.73,7.54,12.39,96.73,7.28,7.97,24.00,26.09,20.68,4.78,38.81,45.37,11.12
Tax %,4.47%,7.29%,25.42%,25.32%,23.76%,30.11%,30.83%,20.81%,16.39%,63.18%,24.74%,22.75%,26.44%
Net Profit +,8.34,6.99,9.24,72.23,5.55,5.57,16.59,20.66,17.28,1.75,29.20,35.05,8.18
EPS in Rs,16.24,14.58,13.78,140.53,11.41,11.29,33.88,38.88,33.55,3.25,56.77,68.14,15.89
Raw PDF,,,,,,,,,,,,,
