,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Sales +,14,35,215,398
Expenses +,12,23,173,309
Operating Profit,2,13,42,90
OPM %,14%,36%,19%,23%
Other Income +,0,4,3,19
Interest,1,2,9,22
Depreciation,1,2,10,17
Profit before tax,1,12,25,71
Tax %,13%,32%,-31%,17%
Net Profit +,1,8,33,58
EPS in Rs,1.01,8.59,10.31,12.72
Dividend Payout %,0%,0%,0%,0%
