,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024
Sales +,"6,002","5,809","6,236","5,739","6,407","6,473","6,851","7,219","7,352","7,580","7,567","7,796","7,979"
Expenses +,"4,993","4,839","5,303","4,950","5,453","5,477","5,702","5,846","5,753","5,920","5,949","6,230","6,401"
Operating Profit,"1,009",970,933,790,954,996,"1,149","1,373","1,599","1,660","1,618","1,566","1,578"
OPM %,17%,17%,15%,14%,15%,15%,17%,19%,22%,22%,21%,20%,20%
Other Income +,100,-114,41,57,93,135,47,188,163,14,221,136,159
Interest,16,9,15,25,45,56,57,68,76,89,111,113,118
Depreciation,299,254,280,298,321,346,327,418,423,354,404,382,419
Profit before tax,794,594,679,523,680,730,812,"1,076","1,262","1,230","1,324","1,207","1,200"
Tax %,24%,3%,23%,22%,28%,31%,30%,30%,26%,26%,31%,32%,30%
Net Profit +,604,576,520,410,491,506,570,752,940,907,918,817,846
EPS in Rs,10.32,9.84,8.88,6.99,8.38,8.64,9.74,12.92,15.98,15.51,15.69,13.95,14.44
Raw PDF,,,,,,,,,,,,,
