,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024
Sales +,676,729,639,478,404,549,411,392,438,574,492,571,624
Expenses +,617,663,565,416,361,492,368,357,387,518,446,522,574
Operating Profit,59,66,74,61,43,57,42,35,51,56,47,48,51
OPM %,9%,9%,12%,13%,11%,10%,10%,9%,12%,10%,9%,8%,8%
Other Income +,1,0,1,1,2,0,0,0,1,1,1,1,0
Interest,11,12,12,13,14,13,15,11,15,9,15,16,17
Depreciation,8,8,7,8,9,9,8,8,8,8,9,9,9
Profit before tax,41,46,56,41,22,36,19,16,28,39,24,24,25
Tax %,25%,25%,25%,20%,32%,25%,29%,22%,25%,28%,26%,27%,26%
Net Profit +,31,35,42,33,15,27,14,13,21,28,18,17,18
EPS in Rs,0.31,0.34,0.42,0.33,0.15,0.26,0.14,0.13,0.21,0.28,0.18,0.17,0.18
Raw PDF,,,,,,,,,,,,,
