,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,TTM
Sales +,141,138,235,449,591,612
Expenses +,131,61,102,273,381,431
Operating Profit,10,78,133,176,210,181
OPM %,7%,56%,57%,39%,36%,30%
Other Income +,40,12,14,15,-54,-52
Interest,3,6,3,3,6,5
Depreciation,1,1,1,3,7,10
Profit before tax,46,83,144,185,143,113
Tax %,28%,27%,26%,27%,27%,
Net Profit +,33,61,106,134,103,80
EPS in Rs,0.09,0.18,0.30,0.39,0.29,0.21
Dividend Payout %,0%,36%,21%,0%,17%,
